省编码	省名称	市编码	市名称	区县编码	区县名称	百姓省	市代码	百姓市	区县代码	百姓区县
140000	山西省	140100	太原市	140181	古交市	山西	taiyuan	太原	m6646	古交
140000	山西省	140200	大同市	140201	市辖区	山西	datong	大同	m6632	大同
140000	山西省	140200	大同市	140202	城区	山西	datong	大同	m6642	城区
140000	山西省	140200	大同市	140203	矿区	山西	datong	大同	m6641	矿区
140000	山西省	140200	大同市	140211	南郊区	山西	datong	大同	m6640	南郊
140000	山西省	140200	大同市	140212	新荣区	山西	datong	大同	m6639	新荣
140000	山西省	140200	大同市	140221	阳高县	山西	datong	大同	m6638	阳高
140000	山西省	140200	大同市	140222	天镇县	山西	datong	大同	m6637	天镇
140000	山西省	140200	大同市	140223	广灵县	山西	datong	大同	m6636	广灵
140000	山西省	140200	大同市	140224	灵丘县	山西	datong	大同	m6635	灵丘
140000	山西省	140200	大同市	140225	浑源县	山西	datong	大同	m6634	浑源
140000	山西省	140200	大同市	140226	左云县	山西	datong	大同	m6633	左云
140000	山西省	140200	大同市	140227	大同县	山西	datong	大同	m6632	大同
140000	山西省	140300	阳泉市	140301	市辖区					
140000	山西省	140300	阳泉市	140302	城区	山西	yangquan	阳泉	m6631	城区
140000	山西省	140300	阳泉市	140303	矿区	山西	yangquan	阳泉	m6630	矿区
140000	山西省	140300	阳泉市	140311	郊区	山西	yangquan	阳泉	m6629	郊区
140000	山西省	140300	阳泉市	140321	平定县	山西	yangquan	阳泉	m6628	平定
140000	山西省	140300	阳泉市	140322	盂县	山西	yangquan	阳泉	m6627	盂县
140000	山西省	140400	长治市	140401	市辖区	山西	changzhi	长治	m6613	长治
140000	山西省	140400	长治市	140402	城区	山西	changzhi	长治	m6613	长治
140000	山西省	140400	长治市	140411	郊区	山西	changzhi	长治	m6614	郊区
140000	山西省	140400	长治市	140421	长治县	山西	changzhi	长治	m6613	长治
140000	山西省	140400	长治市	140423	襄垣县	山西	changzhi	长治	m6612	襄垣
140000	山西省	140400	长治市	140424	屯留县	山西	changzhi	长治	m6611	屯留
140000	山西省	140400	长治市	140425	平顺县	山西	changzhi	长治	m6610	平顺
140000	山西省	140400	长治市	140426	黎城县	山西	changzhi	长治	m6609	黎城
140000	山西省	140400	长治市	140427	壶关县	山西	changzhi	长治	m6608	壶关
140000	山西省	140400	长治市	140428	长子县	山西	changzhi	长治	m6607	长子
140000	山西省	140400	长治市	140429	武乡县	山西	changzhi	长治	m6606	武乡
140000	山西省	140400	长治市	140431	沁源县	山西	changzhi	长治	m6604	沁源
140000	山西省	140400	长治市	140481	潞城市	山西	changzhi	长治	m6603	潞城
140000	山西省	140500	晋城市	140501	市辖区					
140000	山西省	140500	晋城市	140502	城区	山西	jincheng	晋城	m6602	城区
140000	山西省	140500	晋城市	140521	沁水县	山西	jincheng	晋城	m6601	沁水
140000	山西省	140500	晋城市	140522	阳城县	山西	jincheng	晋城	m6600	阳城
140000	山西省	140500	晋城市	140524	陵川县	山西	jincheng	晋城	m6599	陵川
140000	山西省	140500	晋城市	140525	泽州县	山西	jincheng	晋城	m6598	泽州
140000	山西省	140500	晋城市	140581	高平市	山西	jincheng	晋城	m6597	高平
140000	山西省	140600	朔州市	140601	市辖区					
140000	山西省	140600	朔州市	140602	朔城区	山西	shuozhou	朔州	m6672	朔城
140000	山西省	140600	朔州市	140603	平鲁区	山西	shuozhou	朔州	m6671	平鲁
140000	山西省	140600	朔州市	140621	山阴县	山西	shuozhou	朔州	m6670	山阴
140000	山西省	140600	朔州市	140622	应县	山西	shuozhou	朔州	m6669	应县
140000	山西省	140600	朔州市	140623	右玉县	山西	shuozhou	朔州	m6668	右玉
140000	山西省	140600	朔州市	140624	怀仁县	山西	shuozhou	朔州	m6667	怀仁
140000	山西省	140700	晋中市	140701	市辖区					
140000	山西省	140700	晋中市	140702	榆次区	山西	jinzhong	晋中	m6626	榆次
140000	山西省	140700	晋中市	140721	榆社县	山西	jinzhong	晋中	m6625	榆社
140000	山西省	140700	晋中市	140722	左权县	山西	jinzhong	晋中	m6624	左权
140000	山西省	140700	晋中市	140723	和顺县	山西	jinzhong	晋中	m6623	和顺
140000	山西省	140700	晋中市	140724	昔阳县	山西	jinzhong	晋中	m6622	昔阳
140000	山西省	140700	晋中市	140725	寿阳县	山西	jinzhong	晋中	m6621	寿阳
